pl_name,ra,dec,pl_orbper,pl_rade,pl_tranmid,pl_trandur,sy_vmag
TOI-2015 b,232.1326528,27.3610730,3.34823700000,3.30900000,2459424.78570000,0.9876000,16.1100000
TOI-2015 b,232.1326528,27.3610730,3.34914080000,5.37673000,2459712.92890900,1.2070000,16.1100000
TOI-2015 b,232.1326528,27.3610730,3.34896800000,3.39000000,2458956.02260000,1.1100000,16.1100000
TOI-2018 b,229.8374423,29.2078771,7.43557089552,2.27615636,2458958.25796200,2.3450321,10.2500000
TOI-2018 b,229.8374423,29.2078771,7.43558300000,2.26800000,2458958.25800000,2.3600000,10.2500000
TOI-2019 b,234.4317651,48.9552060,15.34440000000,5.33275337,2458942.94200000,7.5729251,10.2630000
TOI-2019 b,234.4317651,48.9552060,15.34681820000,3.99579000,2460431.58423100,6.4250000,10.2630000
TOI-2025 b,282.7952558,82.2454143,8.87207800000,12.52043144,2458690.28980000,3.6170000,11.5990000
TOI-2025 b,282.7952558,82.2454143,8.87209820000,11.89272852,2459089.53337000,3.6010000,11.5990000
TOI-2025 b,282.7952558,82.2454143,8.87205415240,11.98498126,2459754.93963500,3.6593396,11.5990000
TOI-2031 A b,331.1178077,81.5659509,5.71548654000,14.20177855,2459806.02913500,4.0270000,11.2540000
TOI-2031 A b,331.1178077,81.5659509,5.71560747458,13.60156514,2459886.04634000,4.0584797,11.2540000
TOI-2040 b,352.2747299,71.5064737,3.86085760000,10.32347122,2459740.36547000,2.6570000,11.4890000
TOI-2040 b,352.2747299,71.5064737,3.86085510000,11.22240000,2459740.36526100,2.5710000,11.4890000
TOI-2046 b,16.1849423,74.3313055,1.49714467192,16.25284937,2459882.34817100,2.4024159,11.5520000
TOI-2046 b,16.1849423,74.3313055,1.49718420000,16.14093221,2457792.27670000,2.4100000,11.5520000
TOI-2048 b,237.9241066,52.3063083,13.79053150000,2.60168000,2459704.44801300,3.3010000,11.4310000
TOI-2048 b,237.9241066,52.3063083,13.79019000000,2.61000000,2458739.11740000,,11.4310000
TOI-2049 b,346.9098199,56.6945130,5.30346800000,16.64533634,2458768.84600000,4.9150000,11.4130000
TOI-2049 b,346.9098199,56.6945130,5.30329000000,11.74430000,2458768.86655000,3.7070000,11.4130000
TOI-205 b,7.9754636,-56.9650808,4.25300773815,2.50121142,2459096.12263072,3.3953599,9.9210000
TOI-205 b,7.9754636,-56.9650808,4.25298569407,2.16979823,2460929.16115500,3.0961227,9.9210000
TOI-206 b,73.7382202,-62.5218740,0.73631321993,1.53326821,2458325.54253600,0.6736853,14.9380000
TOI-206 b,73.7382202,-62.5218740,0.73631040000,1.30000000,2458325.54310000,,14.9380000
TOI-2068 b,186.2735600,60.4183455,7.76908874827,2.36633077,2458683.41682600,2.6251447,13.0070000
TOI-2068 b,186.2735600,60.4183455,7.76891500000,1.82100000,2458683.42580000,2.0600000,13.0070000
TOI-2071 b,256.6011813,57.6610327,5.67393360152,2.58758199,2459659.62081400,2.8074156,11.5410000
TOI-2071 b,256.6011813,57.6610327,5.67395386982,2.56484195,2459784.44248281,2.8641894,11.5410000
TOI-2076 b,217.3920159,39.7903991,10.35504000000,2.59000000,,,9.1390000
TOI-2076 b,217.3920159,39.7903991,10.35548900000,,2458805.85425000,,9.1390000
TOI-2076 b,217.3920159,39.7903991,10.35566000000,2.50000000,2458847.27760000,3.3260000,9.1390000
TOI-2076 b,217.3920159,39.7903991,10.35523500000,2.39000000,2458743.72190000,3.2450000,9.1390000
TOI-2076 b,217.3920159,39.7903991,10.35509000000,2.51800000,2458940.47980000,3.2510000,9.1390000
TOI-2076 b,217.3920159,39.7903991,10.35509600000,2.77062554,2458743.74400000,3.2427741,9.1390000
TOI-2076 b,217.3920159,39.7903991,10.35635955149,2.41032056,2459675.69502900,3.4814933,9.1390000
TOI-2076 c,217.3920159,39.7903991,21.01538000000,3.49700000,2459274.08398000,4.1860000,9.1390000
TOI-2076 c,217.3920159,39.7903991,21.01530470000,3.78219000,2459673.36436900,4.3150000,9.1390000
TOI-2076 c,217.3920159,39.7903991,21.01532700000,3.69441587,2458748.68944000,4.1934912,9.1390000
TOI-2076 c,217.3920159,39.7903991,,3.38000000,2458834.66150000,4.2150000,9.1390000
TOI-2076 c,217.3920159,39.7903991,21.01447000000,3.54000000,,,9.1390000
TOI-2076 d,217.3920159,39.7903991,35.12574720000,3.17021000,2459675.93251000,2.8390000,9.1390000
TOI-2076 d,217.3920159,39.7903991,,3.16000000,2458837.93630000,3.2000000,9.1390000
TOI-2076 d,217.3920159,39.7903991,35.12537000000,3.23200000,2458938.29150000,3.0460000,9.1390000
TOI-2076 d,217.3920159,39.7903991,35.12803000000,3.27000000,,,9.1390000
TOI-2076 d,217.3920159,39.7903991,35.12568600000,3.43087751,2458938.29310000,2.9702271,9.1390000
TOI-2076 e,217.3920159,39.7903991,3.02234450000,1.35500000,2458740.21306000,2.1600000,9.1390000
TOI-2076 e,217.3920159,39.7903991,3.02237530000,1.30100000,,,9.1390000
